model,dataset,mse,rmse,mae,r2
LSTM,train,0.11662890762090683,0.341509747475686,0.23633845150470734,0.21611377596855164
LSTM,val,0.13183781504631042,0.36309477419306163,0.24463029205799103,0.023579586297273636
LSTM,test,0.14512048661708832,0.3809468291206639,0.26284778118133545,0.08453450351953506
Transformer,train,0.0011084337020292878,0.0332931479741596,0.023749634623527527,0.9903988838195801
Transformer,val,0.021344143897294998,0.14609635141677904,0.08754929155111313,0.4840492308139801
Transformer,test,0.02638843283057213,0.16244516868953698,0.1096440926194191,0.542191743850708
