model,seed_mean,seed_std,train_mse_mean,train_mse_std,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,train_r2_mean,train_r2_std,val_mse_mean,val_mse_std,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std
ElasticNet,555.25,980.6917201649048,0.024731611491239716,0.0,0.15726287384897847,0.0,0.11055414226553059,0.0,0.49315964583041616,0.0,0.030926724786734194,0.0,0.1758599578833516,0.0,0.11006535944901008,0.0,0.21481571697519417,0.0,0.02636200391417462,0.0,0.16236380112012228,0.0,0.11043564706693001,0.0,0.44224640663205966,0.0
Extra Trees,555.25,980.6917201649048,2.5000000000327563e-12,5.0000000000655126e-12,7.905694189553953e-07,1.581138827489134e-06,1.2500004081650306e-08,2.5000000000441336e-08,0.9999999999916485,1.670319746715608e-11,0.021649996737499646,0.0002701748297804938,0.1471372430274061,0.0009153882918797321,0.0720575749999999,0.00010161077288686285,0.4971609123462052,0.008141401355051085,0.022866103659999568,0.00022197980384506852,0.15121408334588834,0.0007345364636302619,0.08878169999999971,0.0006556747567709499,0.4550294609007225,0.009068957675059096
Gradient Boosting,555.25,980.6917201649048,0.0007996693478796222,3.312292349366928e-19,0.02827842548445055,6.009258394948637e-18,0.01935691151623984,8.012344526598183e-18,0.9852472492113646,0.0,0.02471381045106477,2.0219414896631395e-05,0.1572062573458164,6.431573905404058e-05,0.07969271849551902,0.00014662204669815094,0.3454825255085042,0.001557372876745115,0.024855619509092257,9.043956746952588e-05,0.15765645490522265,0.0002869048849497219,0.09408650220488171,0.00017837358603167673,0.4019837401414017,0.004228227868317247
K-Nearest Neighbors,555.25,980.6917201649048,0.010566419499999587,0.0,0.10279309072111602,0.0,0.05779474999999902,0.0,0.9445677026015653,0.0,0.12411978399999564,0.0,0.3523063780291178,0.0,0.23135199999999637,0.0,-0.1384337213282601,0.0,0.10777584799999676,0.0,0.32829232095800953,0.0,0.22345199999999724,0.0,-0.032898256738780406,0.0
Linear Regression,555.25,980.6917201649048,0.013607174892234055,0.0,0.11664979593738711,0.0,0.07509110304737758,0.0,0.7030047552088621,0.0,0.043749999499849215,0.0,0.20916500543792982,0.0,0.11396122933491634,0.0,-0.6668238023526907,0.0,0.03801591620903693,0.0,0.194976706837091,0.0,0.13391521225352998,0.0,0.06919103686876696,0.0
Random Forest,555.25,980.6917201649048,0.0003957943493749978,1.0764132789411624e-05,0.019893209565492072,0.00026972222356196827,0.010722162500000234,0.00011293756248846224,0.9944140305015092,0.00021746851040980712,0.02378196239249951,0.0003014031199527368,0.15421169181638011,0.0009774112947404754,0.07955682499999969,0.00020176118515045268,0.384721753813637,0.010173883637880748,0.0259922346349996,0.0006021029344766241,0.16121296375237432,0.0018672450920164641,0.09565099999999958,0.0011031590003258548,0.3500056364600662,0.022178743030622967
Ridge Regression,555.25,980.6917201649048,0.013644355822638555,0.0,0.11680905710876428,0.0,0.07473640985032157,0.0,0.7021873278561602,0.0,0.042492516583091125,0.0,0.20613713052987598,0.0,0.11055335476188324,0.0,-0.5337170728449157,0.0,0.036114189387883314,0.0,0.19003733682590723,0.0,0.13022218835082405,0.0,0.12120529775818097,0.0
Support Vector Regression,555.25,980.6917201649048,0.004592666113530675,0.0,0.06776921213597421,0.0,0.05892076977794795,0.0,0.9223710096227542,0.0,0.03794117645193107,0.0,0.19478494924385475,0.0,0.12724491692060616,0.0,0.28750230413409855,0.0,0.03843033066189137,0.0,0.19603655440221185,0.0,0.13815944867281268,0.0,0.34189877667194135,0.0
