model,dataset,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n_seeds
DeepMLP,train,0.004785542492754757,0.0006854487649301757,0.0690345471007595,0.00513469237608603,0.049696505069732666,0.0036726679837470124,0.9525924921035767,0.007006868130359376,4
DeepMLP,val,0.02783935097977519,0.0018232556624141589,0.16678519945591752,0.005421958099555665,0.10706301406025887,0.0048599480246260705,0.3984685242176056,0.03655962907583625,4
DeepMLP,test,0.03272657049819827,0.0015311436096456263,0.18086741630930492,0.00425021031555712,0.1276997309178114,0.0036299014471665907,0.43280088901519775,0.01472672774302403,4
