sample_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
0,27.09666446,48.62228263,-29.97006066,-2.50166437,-28.986166,0.42642541,-24.47088734,27.30563494,-38.12972837,36.29801549,22.42974488,40.38230942,20.12608221,-39.24089184,36.98720761,46.57627536,-45.68737626,-25.69857356,-44.24644459,-36.60896247,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.359999999999928,4.309999999999951,3.2999999999999723,3.3399999999999714,3.309999999999972,3.309999999999972,3.3399999999999714,3.2999999999999723,4.309999999999951,5.359999999999928,5.0199999999999285,3.969999999999951,2.939999999999973,2.2699999999999716,2.419999999999973,2.8399999999999723,2.4399999999999715,2.9699999999999718,3.799999999999952,4.8099999999999286,88.91351607553732,88.93585954419692,93.20032215901911,99.9550190259828,99.91270905342962,97.9277449538424,99.91839601952077,89.09060551558619,98.28336441751046,98.84199089731497
1,27.0367192,47.68733906,-29.68860756,-5.7492377,-27.16138538,-0.50481852,-23.81533741,24.40971654,-23.72675648,20.98568035,19.24537295,38.81594719,19.11072382,-37.50250882,36.63828771,43.69401241,-41.95594642,-25.07842054,-42.62422559,-35.44005757,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.459999999999926,4.439999999999948,3.2999999999999723,3.369999999999971,3.309999999999972,3.309999999999972,3.369999999999971,3.2999999999999723,4.439999999999948,5.459999999999926,5.119999999999926,4.099999999999948,2.9399999999999724,2.1699999999999706,2.379999999999972,2.7899999999999725,2.349999999999971,2.969999999999972,3.8999999999999484,4.899999999999927,88.91409359858602,88.9388439595064,93.18619584698041,99.96276244878113,99.92905812417179,98.78553574712178,99.94715776289891,89.17968077664229,98.78563252012363,98.92972686884823
2,26.97677501,46.75239637,-29.40716067,-8.99647282,-25.33662889,-1.43599235,-23.15979053,21.51384736,-9.32378459,5.67334521,16.06105757,37.24958642,18.09538781,-35.76430684,36.28937242,40.81196646,-38.22453395,-24.45827808,-41.00200659,-34.27115266,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.469999999999926,4.589999999999945,3.2999999999999723,3.449999999999969,3.319999999999972,3.319999999999972,3.449999999999969,3.2999999999999723,4.589999999999945,5.469999999999926,5.129999999999926,4.249999999999944,2.939999999999973,2.05999999999997,2.319999999999972,2.7199999999999718,2.249999999999969,2.9699999999999718,4.009999999999946,4.929999999999927,88.91469278058243,88.91523068548423,92.88044521607003,99.9655974653249,99.94216348198628,99.37169275444762,99.96144606654951,89.2774127038245,99.15867558518015,98.74820696949413
3,26.9168321,45.81745461,-29.12572055,-12.24326641,-23.51189987,-2.36707892,-22.50424731,18.61803454,5.0791873,-9.63898993,12.87681041,35.68322722,17.08007624,-34.0263412,35.94046239,37.93019054,-34.49314228,-23.83814768,-39.37978758,-33.10224776,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.379999999999928,4.739999999999942,3.2999999999999723,3.6299999999999653,3.3299999999999716,3.3299999999999716,3.6299999999999653,3.2999999999999723,4.739999999999942,5.379999999999928,5.039999999999928,4.399999999999942,2.939999999999973,2.0499999999999656,2.259999999999972,2.6399999999999717,2.1699999999999653,2.969999999999972,4.1199999999999415,4.889999999999928,88.91297438411574,88.9142581244581,92.94423889035505,99.96630884145716,99.95188694676669,99.70797686324025,99.96591058520607,89.40025736722916,99.42461194142155,98.0611581118402
4,26.85689076,44.88251386,-28.84428784,-15.48946839,-21.68720228,-3.29805505,-21.84870851,15.72228666,19.48215919,-24.95132507,9.69264655,34.1168697,16.06479142,-32.28869225,35.59155836,35.04875647,-30.76177581,-23.21803118,-37.75756858,-31.93334285,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.229999999999931,4.879999999999939,3.2999999999999723,4.009999999999957,3.3399999999999714,3.3399999999999714,4.009999999999957,3.2999999999999723,4.879999999999939,5.229999999999931,4.889999999999931,4.539999999999939,2.9399999999999724,2.0799999999999574,2.1999999999999718,2.529999999999972,2.099999999999957,2.9699999999999727,4.219999999999939,4.7999999999999305,88.91406158272062,88.9153866518832,93.19584126831082,99.96645187918193,99.958357104532,99.86881477278212,99.96645129192211,89.52038818784027,99.58150498161827,96.58638433856774
5,26.79695136,43.94757418,-28.56286328,-18.73485219,-19.86254088,-4.22888851,-21.19317514,12.82661413,28.87266106,-38.39846321,6.5085859,32.55051397,15.04953597,-30.55148126,35.24266126,32.16776395,-27.03044027,-22.59793083,-36.69990835,-30.90682236,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.079999999999934,4.9799999999999365,3.2999999999999723,4.489999999999947,3.369999999999971,3.369999999999971,4.489999999999947,3.2999999999999723,4.9799999999999365,5.079999999999934,4.7399999999999345,4.639999999999937,2.939999999999972,1.9299999999999478,2.1599999999999704,2.4099999999999713,1.9599999999999482,2.9699999999999727,4.299999999999936,4.679999999999934,88.91402133287689,88.91432448490306,92.76660629305445,99.96645373649501,99.96204557715686,99.93352335324141,99.96645373648158,89.60237407312114,99.62732908974209,94.83929323990256
6,26.73701441,43.01263565,-28.28144768,-21.97905904,-18.03792146,-5.15953325,-20.53764855,9.93102971,21.2096842,-29.91470396,3.32465526,30.98416018,14.03431288,-28.81490027,34.89377218,29.28735554,-23.29914327,-21.97784934,-25.77607993,-24.31399115,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.29999999999993,5.169999999999932,3.2999999999999723,4.159999999999954,3.40999999999997,3.40999999999997,4.159999999999954,3.2999999999999723,5.169999999999932,5.29999999999993,4.95999999999993,4.829999999999933,2.929999999999972,2.199999999999955,2.1599999999999695,2.2999999999999696,2.1499999999999546,2.9699999999999727,4.4099999999999335,4.899999999999929,88.91418866242965,88.91623273897244,93.58113302637473,99.96645226042625,99.96298968344006,99.95518798743214,99.96645307563129,89.85836065061531,99.78988209783003,94.44661628028291
7,26.6770806,42.07769836,-28.00004199,-25.22148577,-16.21335108,-6.08992105,-19.88213055,7.03554923,13.54670734,-21.4309447,0.14089155,29.41780846,13.01912552,-27.07927215,34.54489248,26.40774239,-19.56789514,-21.35779011,-14.85225152,-17.72115993,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.549999999999924,5.349999999999929,3.2999999999999723,3.7099999999999635,3.4299999999999695,3.4299999999999695,3.7099999999999635,3.2999999999999723,5.349999999999929,5.549999999999924,5.199999999999925,5.009999999999929,2.929999999999972,2.2899999999999636,2.1999999999999695,2.219999999999969,2.159999999999964,2.9699999999999727,4.5199999999999285,5.149999999999924,88.91291130268367,88.91859204079508,93.54860970561225,99.96549785265223,99.96244809940492,99.9616742851976,99.96621691921258,90.11755342941122,99.86139683499114,94.31514428261815
8,26.61715092,41.1427624,-27.71864729,-28.46103553,-14.38883853,-7.01994644,-19.22662365,4.14019252,5.88373047,-12.94718545,-3.04265286,27.85145897,12.00397778,-25.34518404,34.19602383,23.52925089,-15.83671026,-20.73775739,-3.92842311,-11.12832871,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,5.809999999999919,5.469999999999926,3.2999999999999723,3.4899999999999682,3.4299999999999695,3.4299999999999695,3.4899999999999682,3.2999999999999723,5.469999999999926,5.809999999999919,5.469999999999919,5.129999999999926,2.939999999999973,2.4299999999999686,2.28999999999997,2.1799999999999695,2.1699999999999684,2.9699999999999727,4.609999999999927,5.379999999999918,88.91461043586605,88.92247674858965,93.1012193770171,99.94955379900688,99.95808023456277,99.96289129150108,99.96439576422844,90.39403278321242,99.8818955527863,96.14534740202365
9,26.55722682,40.20782789,-27.4372648,-31.69548936,-12.56439477,-7.94943744,-18.5711315,1.24498482,-1.77924639,-4.4634262,-6.22590122,26.2851119,10.98887413,-23.61382372,33.84716834,20.65241341,-12.10560927,-20.11775657,6.9954053,-4.53549749,0.98385067,1.3054474,0.12847699,0.12214323,0.32368364,0.55984719,1.37221831,0.37525184,94.9680882,108.06331398,6.069999999999913,5.509999999999925,3.2999999999999723,3.3899999999999704,3.40999999999997,3.40999999999997,3.3899999999999704,3.2999999999999723,5.509999999999925,6.069999999999913,5.729999999999913,5.159999999999925,2.939999999999973,2.629999999999971,2.42999999999997,2.2199999999999696,2.2699999999999703,2.9599999999999724,4.669999999999927,5.5599999999999135,88.91355615422239,88.93075266421953,92.97246302072408,99.82436579946695,99.93742439890292,99.96059545370053,99.956388629016,90.74674399759569,99.86377047163481,98.344781560703
