sample_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
0,14.04506717,19.19697969,-11.49875718,-44.12588781,-0.78364048,-19.52469438,-27.9474168,49.45399218,-44.88308098,-40.60700483,19.07648597,-26.54461409,-30.52959124,9.99915372,8.84262471,-35.95988912,-20.70090867,-49.7957,-33.86031685,-21.60342723,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.109999999999934,4.999999999999936,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,4.999999999999936,5.109999999999934,4.769999999999934,4.659999999999936,2.679999999999973,2.9199999999999724,2.9699999999999718,2.8399999999999723,2.609999999999973,2.9699999999999718,4.529999999999935,4.699999999999933,88.91268632622457,88.9119371491506,99.55912445158144,94.32629057583543,88.97538725752791,97.95941472957455,99.72629372158293,88.93683876215631,97.30699017555378,95.07195557625279
1,13.39917456,16.35174713,-11.01503209,-43.33496729,-2.90500902,-18.92831263,-25.4976221,48.39083064,-34.93076318,-36.84191319,17.88701731,-26.60249131,-28.76829265,8.21306519,7.21743104,-35.12109462,-21.76266611,-48.29963503,-29.8135793,-3.05638363,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.379999999999928,5.27999999999993,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.27999999999993,5.379999999999928,5.039999999999928,4.93999999999993,2.669999999999973,2.949999999999972,2.969999999999972,2.839999999999972,2.6399999999999726,2.9699999999999718,4.79999999999993,4.929999999999928,88.91280247602525,88.91457237310888,99.57381369943238,92.14128699468515,89.00709219682443,97.917347341801,99.64443462066164,88.93540708523044,97.69512732090905,96.71877524157088
2,12.75328276,13.50651459,-10.53130872,-42.54406308,-5.02633714,-18.33193657,-23.04795489,47.3276694,-24.97844538,-33.07682155,16.69755015,-26.66036854,-27.00700029,6.42701349,5.59226834,-34.28230812,-22.82436829,-46.8035705,-25.76684176,15.49065998,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.5899999999999235,5.619999999999923,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.619999999999923,5.5899999999999235,5.249999999999924,5.279999999999923,2.669999999999973,2.969999999999972,2.969999999999972,2.8399999999999723,2.659999999999973,2.9699999999999718,5.139999999999922,5.099999999999922,88.91806043632151,88.91355841553833,99.57698701508109,90.12733029248847,89.00833312564302,97.80709003275105,99.57131585261749,88.92178919044532,97.82223770447375,97.71633363162651
3,12.10739182,10.66128206,-10.04758724,-41.75317736,-7.1476143,-17.73556651,-20.59845383,46.26450853,-15.02612758,-29.74240197,15.50808458,-26.71824577,-25.24571484,4.64100356,3.96714467,-33.44353005,-23.88599846,-45.30750648,-21.72010421,31.91618992,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.609999999999923,6.029999999999914,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.029999999999914,5.609999999999923,5.2599999999999225,5.6799999999999145,2.6699999999999733,2.969999999999972,2.969999999999972,2.849999999999972,2.689999999999973,2.969999999999972,5.539999999999914,5.099999999999922,89.86032689132456,88.91323433086433,99.57770088153457,89.10509885631816,88.98879238418095,97.63866986175466,99.49345797766654,88.91529619192211,97.6449485231364,98.13011459941036
4,11.46150179,7.81604955,-9.56386786,-40.96231271,-9.26882593,-17.13920277,-18.14917493,45.20134811,-6.05128526,-35.33275405,14.31862069,-26.77612299,-23.48443704,2.85504118,2.34207121,-32.60476087,-24.94753234,-43.81144309,-18.07082048,31.74812416,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.489999999999926,6.409999999999906,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.409999999999906,5.489999999999926,5.119999999999925,6.069999999999906,2.6799999999999726,2.979999999999972,2.9699999999999718,2.859999999999973,2.7299999999999724,2.969999999999972,5.949999999999905,4.979999999999925,92.07665619299318,88.91426998036555,99.57265916179331,88.92070649539653,88.95380119817399,97.49614522463591,99.2991098320301,88.91362086463135,96.99428217687142,98.18884843254546
5,10.81561274,4.97081706,-9.08015083,-40.1714722,-11.38995135,-16.5428457,-15.70020251,44.13818823,6.64934142,-39.73174071,13.12915859,-26.83400022,-21.72316778,1.06913333,0.7170638,-31.76600108,-26.0089334,-42.31538046,-23.58134274,35.9190403,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.359999999999928,7.009999999999893,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,7.009999999999893,5.359999999999928,4.989999999999928,6.669999999999893,2.6799999999999726,2.979999999999972,2.9799999999999716,2.8599999999999723,2.7599999999999723,2.969999999999972,6.569999999999893,4.8599999999999275,92.5529317645091,89.23288289403169,99.55277462399252,88.91193358375455,88.91732780634193,97.27817440035784,99.00655345125551,88.9133004208887,96.20979723405172,98.12524609934702
6,10.16972472,2.12558461,-8.59643642,-39.38065953,-13.51096011,-15.94649569,-13.25166959,43.07502903,19.3499681,-43.04099178,11.93969839,-26.89187744,-19.96190807,-0.71671165,-0.90785424,-30.9272512,-27.07014397,-40.81931879,-29.09186499,16.37095379,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.409999999999927,6.369999999999907,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,6.369999999999907,5.409999999999927,5.059999999999927,6.019999999999906,2.699999999999972,2.969999999999972,2.9799999999999716,2.869999999999972,2.7999999999999727,2.969999999999972,5.989999999999907,4.899999999999926,90.36587633118764,89.02880223753357,99.41030720740781,88.91175174244253,88.91440660404308,97.16055783591038,98.53625060004605,88.9157810214499,92.26425999456539,98.30794140194496
7,9.5238378,-0.71964779,-8.11272495,-38.58987921,-15.63180562,-15.35015314,-10.80379889,42.01187069,32.05059478,-46.35024284,10.75024022,-26.94975466,-18.20065908,-2.50248358,-2.53264721,-30.08851183,-28.13106753,-39.32325833,-34.60238725,-3.17713272,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.319999999999929,5.76999999999992,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,5.76999999999992,5.319999999999929,4.979999999999929,5.42999999999992,2.7099999999999724,2.969999999999972,2.9799999999999716,2.8699999999999726,2.8399999999999728,2.9699999999999718,5.429999999999919,4.819999999999928,89.02432460629791,88.92256882923758,99.32714442180597,88.91195925847146,88.92127093297891,97.05155082594258,97.8691005946008,88.94140642117179,89.34126246418455,97.98180503788834
8,8.87795205,-3.56488012,-7.62901681,-37.79913677,-17.75241267,-14.75381849,-8.35699332,40.94871346,44.75122146,-49.46741784,9.56078422,-27.00763189,-16.43942221,-4.28816996,-4.1572575,-29.24978357,-29.19152945,-37.82719944,-40.1129095,-21.59060611,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.139999999999933,5.309999999999929,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,5.309999999999929,5.139999999999933,4.799999999999933,4.96999999999993,2.7299999999999724,2.969999999999972,2.979999999999972,2.8799999999999724,2.869999999999973,2.9699999999999718,4.96999999999993,4.689999999999932,88.91780302938777,88.91511216349363,99.20999172857886,88.92250466106526,89.36594982861543,97.11166061049273,96.82876577485548,89.01991584449685,88.91384056935023,97.07311830493717
9,8.23206757,-6.41011234,-7.14531245,-37.00843908,-19.87265171,-14.15749222,-5.91206261,39.88555771,48.16697317,-44.87041795,8.37133052,-27.06550911,-14.67819908,-6.0737553,-5.78158585,-28.4110671,-30.25117881,-36.33114263,-41.59492896,-6.45251828,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.369999999999928,5.159999999999933,3.2999999999999723,3.2999999999999723,3.319999999999972,3.319999999999972,3.2999999999999723,3.2999999999999723,5.159999999999933,5.369999999999928,5.029999999999928,4.819999999999933,2.7399999999999727,2.9699999999999718,2.959999999999972,2.8699999999999726,2.909999999999972,2.969999999999972,4.819999999999933,4.8999999999999275,88.91451471134914,88.96789843528724,99.12922412293452,89.09180851923526,92.25412157356236,97.38662926208661,95.34580947730511,89.18798928258857,88.91347317026487,97.45140028256375
10,7.58618442,-9.2553444,-6.6616124,-36.21779475,-21.99227908,-13.56117485,-3.47090145,38.82240398,30.88490924,-40.27341807,7.1818793,-27.12338632,-12.91699164,-7.85922012,-7.4054456,-27.57236314,-31.30919441,-34.83508866,-32.36002412,8.68556955,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.5399999999999245,5.569999999999924,3.2999999999999723,3.2999999999999723,3.319999999999972,3.319999999999972,3.2999999999999723,3.2999999999999723,5.569999999999924,5.5399999999999245,5.199999999999925,5.229999999999924,2.7399999999999727,2.969999999999972,2.919999999999972,2.869999999999972,2.939999999999972,2.9699999999999718,5.229999999999924,5.069999999999924,88.95006921151898,88.92652589021665,99.1729579857811,89.94535150240618,95.7285996616072,97.57354737511464,93.03925996469543,89.53748998322439,88.9131565733304,97.30497853723685
11,6.94030271,-12.10057617,-6.17791729,-35.4272148,-24.11077741,-12.96486694,-1.03915138,37.75925311,13.60284531,-35.78888286,5.99243073,-27.18126353,-11.15580221,-9.64453957,-9.02844039,-26.73367247,-32.36313118,-33.33903871,-23.12511928,23.45330711,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.579999999999924,6.029999999999914,3.2999999999999723,3.2999999999999723,3.3299999999999716,3.3299999999999716,3.2999999999999723,3.2999999999999723,6.029999999999914,5.579999999999924,5.229999999999923,5.689999999999914,2.7499999999999725,2.959999999999972,2.879999999999972,2.889999999999972,2.9599999999999724,2.9699999999999713,5.689999999999914,5.1299999999999235,90.5475584783949,88.91837534017088,99.11746456767789,91.38365753006651,97.40434976330215,96.93230003147974,90.56009489234042,90.19055195518912,88.9146145258377,96.62274871270981
12,6.29442255,-14.94580736,-5.69422789,-34.63671345,-26.22682825,-12.36856908,1.35688287,36.69610647,-3.67921863,-23.90424103,4.802985,-27.23914073,-9.39463359,-11.42968151,-10.64956013,-25.89499596,-33.40158847,-31.84299472,-13.89021444,25.78617358,0.922172524,0.0271930862,0.495330105,0.329841407,0.638053685,0.220706772,0.649594898,0.553607376,92.2395181,101.378683,5.829999999999918,6.359999999999907,3.2999999999999723,3.2999999999999723,3.3299999999999716,3.3299999999999716,3.2999999999999723,3.2999999999999723,6.359999999999907,5.829999999999918,5.459999999999917,6.019999999999907,2.7599999999999723,2.939999999999972,2.8199999999999723,2.9499999999999718,2.9699999999999718,2.959999999999972,6.019999999999907,5.389999999999918,91.75033161383237,88.92687577170759,99.01584235246634,93.0878096858165,98.67160565223914,94.16594282310726,89.07098009507737,91.38782220742034,88.91470217126192,96.22580039711931
