sample_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
0,-48.42334829,-31.49531107,-31.25764456,-15.67628867,15.79901055,-30.15788198,14.50552243,-43.29890892,-8.17687866,34.73761639,-19.82573338,22.39060413,-13.74494059,-35.99792505,-15.36011585,-1.84796759,-11.72913175,-34.71934924,-6.22147378,-18.70981962,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,5.019999999999936,5.709999999999921,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.709999999999921,5.019999999999936,4.679999999999936,5.369999999999921,2.5399999999999725,2.9799999999999716,2.9699999999999718,2.969999999999972,2.8799999999999724,2.879999999999972,5.15999999999992,4.679999999999935,88.96391267237513,88.91383481539783,99.84564848485928,88.91469472190822,89.28104788554964,88.91267311007715,96.91457956663716,96.91991682693794,98.78200200153991,89.70477936938809
1,-45.99568718,-29.11481481,-29.75478343,-14.74729647,15.7734937,-30.66650298,14.78229026,-43.65639044,-6.05939379,29.81573032,-17.88560136,21.3060657,-12.23644261,-34.9710351,-11.54593665,-0.96148941,-10.7038768,-32.79288221,-17.36343741,-14.07767988,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,5.139999999999933,5.489999999999926,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.489999999999926,5.139999999999933,4.799999999999933,5.149999999999926,2.539999999999972,2.979999999999972,2.9699999999999718,2.969999999999972,2.869999999999972,2.899999999999972,4.9999999999999245,4.7899999999999325,88.91445236581943,88.91363407019438,99.84417616656667,88.91465048459193,89.16068628623907,88.91266225020561,97.32504071220241,96.18642695871729,97.78425631473209,89.61606494489583
2,-43.56802626,-26.73460159,-28.25193284,-13.81831592,15.74797801,-31.17500911,15.05905752,-44.01385802,-3.94190892,37.11163092,-15.94546949,20.22165621,-10.72795522,-33.94415804,-7.73193206,-0.07521145,-9.67862394,-30.86649036,-28.50540104,2.8338432,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,5.029999999999935,5.26999999999993,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.26999999999993,5.029999999999935,4.6899999999999356,4.92999999999993,2.5399999999999725,2.979999999999972,2.9699999999999718,2.969999999999972,2.849999999999972,2.909999999999972,4.82999999999993,4.679999999999935,88.9137233904543,88.91438681615634,99.83628583883288,88.91454376238485,89.11595957699024,88.91265862809284,97.62599041947563,95.64785390695418,96.36661018401475,89.2322530000516
3,-41.14036555,-24.35477479,-26.74909398,-12.88934867,15.7224639,-31.68338479,15.33582418,-44.37130879,-1.82442405,42.7967639,-14.0053378,19.13742277,-9.21947961,-32.91729568,-3.91816324,0.81083916,-8.65337331,-28.94018907,-39.64736467,16.01168962,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,4.9299999999999375,5.069999999999935,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.069999999999935,4.9299999999999375,4.589999999999938,4.729999999999935,2.5499999999999723,2.979999999999972,2.9699999999999718,2.969999999999972,2.849999999999972,2.909999999999972,4.669999999999934,4.589999999999937,88.91420711879576,88.91248920572956,99.82311592215929,88.91436606832121,89.1423077911795,88.9126626706569,97.82935646616829,95.42889637957322,94.75730703510833,89.0459792721973
4,-38.71270508,-21.97549498,-25.24626823,-11.96039671,15.696952,-32.19161154,15.61259021,-44.72873908,-0.6382875,27.97473836,-12.06520628,18.05343854,-7.71101714,-31.8904502,-0.10472363,1.69663021,-7.62812501,-27.01399816,-45.88867981,9.25285645,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,5.239999999999931,4.989999999999936,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,4.989999999999936,5.239999999999931,4.899999999999931,4.649999999999936,2.5699999999999723,2.9799999999999716,2.969999999999972,2.969999999999972,2.8399999999999723,2.909999999999972,4.599999999999936,4.89999999999993,88.91440781722628,88.92956625798035,99.80078548361581,89.01700591050616,89.25542743260088,88.91430563277973,98.04992297501582,95.52926139386696,93.62803025011269,89.15636623028452
5,-36.28504486,-19.59702558,-23.74345717,-11.03146241,15.6714433,-32.69966723,15.88935557,-45.08614404,-3.33596556,13.15271282,-10.12507497,16.96982353,-6.20256943,-30.86362426,3.70823655,2.58212309,-6.60287919,-25.08794374,-45.07654315,2.49402329,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,5.619999999999923,5.049999999999935,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.049999999999935,5.619999999999923,5.279999999999923,4.709999999999935,2.5999999999999726,2.9699999999999718,2.969999999999972,2.9699999999999718,2.8199999999999723,2.899999999999972,4.669999999999934,5.269999999999922,88.91272933349731,89.21978629711928,99.75832713925676,90.57430502988174,89.50046095215491,89.05859499667294,98.29166465136684,95.84005006845167,93.38249888130287,89.35180324707015
6,-33.85738491,-17.21983048,-22.24066267,-10.1025487,15.64593953,-33.20752511,16.16612023,-45.44351718,4.3124452,-1.66931272,-8.18494388,15.88678908,-4.69413834,-29.83682107,7.52045973,3.46727123,-5.57763599,-23.16206081,-35.44978737,-4.26480988,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,6.079999999999913,5.229999999999931,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.229999999999931,6.079999999999913,5.739999999999913,4.879999999999931,2.6299999999999724,2.9399999999999724,2.969999999999972,2.969999999999972,2.809999999999972,2.889999999999972,4.839999999999931,5.7299999999999125,88.9146884106037,90.20308057952047,99.70303358829935,93.38864199773244,89.89280865282723,89.79166439340051,98.51772279293523,96.22473162974799,93.71812059743209,89.58586215599347
7,-31.42972528,-14.84480777,-20.73788693,-9.17365915,15.62044391,-33.71515261,16.44288413,-45.80084958,11.96085596,-16.49133826,-6.24481304,14.80474435,-3.18572608,-28.8100446,11.33146462,4.35201782,-4.55239558,-21.23639746,-25.82303159,-11.02364305,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,6.599999999999902,5.389999999999928,3.309999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.309999999999972,5.389999999999928,6.599999999999902,6.259999999999902,5.039999999999927,2.659999999999972,2.9099999999999717,2.959999999999972,2.959999999999972,2.7999999999999723,2.879999999999973,5.009999999999927,6.259999999999901,88.9151510803289,91.12804859050027,99.61481670968767,95.70800971722527,90.40551685011948,91.02567102527843,98.70942433408179,96.52597128567095,93.77955515080058,89.77032550030981
8,-29.00206599,-12.47394477,-19.23513253,-8.24479826,15.59496322,-34.22250962,16.71964723,-46.15812863,16.40387759,-31.3133638,-4.30468248,13.72459476,-1.67733524,-27.78329979,15.14023852,5.23629299,-3.52715813,-19.31102154,-20.23077387,-17.78247622,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,6.6799999999999,5.499999999999925,3.2999999999999723,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.2999999999999723,5.499999999999925,6.6799999999999,6.3299999999999,5.149999999999925,2.6999999999999726,2.8699999999999726,2.959999999999972,2.9499999999999718,2.7799999999999727,2.879999999999973,5.119999999999925,6.3299999999999,88.92879646244126,90.6818370236383,99.47203158070462,97.29099714385121,91.02261667729759,92.27179931241271,98.90232890250289,96.72922491254837,93.3919207796817,89.58933858887393
9,-26.57440709,-10.11263338,-17.73240258,-7.31597166,15.56951447,-34.72954624,16.99640949,-46.51533598,6.735418,-46.13538934,-2.36455222,12.64879683,-0.16896894,-26.7565929,18.94423815,6.12000973,-2.50192381,-17.38603205,-17.99522179,-24.54130939,0.504989599,1.90350753,0.625543237,1.3814621,1.02719043,0.092738032,1.58640892,0.0404800081,90.0411239,115.328421,6.159999999999911,5.76999999999992,3.2999999999999723,3.319999999999972,3.2999999999999723,3.2999999999999723,3.319999999999972,3.2999999999999723,5.76999999999992,6.159999999999911,5.8199999999999115,5.429999999999919,2.729999999999972,2.8299999999999725,2.949999999999972,2.939999999999973,2.7699999999999716,2.8699999999999726,5.389999999999919,5.819999999999911,88.9635736280068,89.6328424691942,99.27378944732162,98.19340795431721,91.54100200566168,93.35355874212951,99.04094877668868,96.84900143267427,93.34282786155279,89.17110342088179
