sample_id,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,z1,z2,z3,z4,z5,z6,z7,z8,t1,t2,t3,t4,t5,t6,t7,t8,output1,output2,output3,output4,output5,output6,output7,output8,result1,result2,result3,result4,result5,result6,result7,result8
0,46.01952785,-24.75045965,-18.52898762,-30.52776484,-1.83853808,-26.71211798,-2.61692604,-16.21374226,-42.1932626,41.4921225,49.6537092,0.0128886713,-29.1794668,-10.5553346,47.6004096,34.6089372,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,4.669999999999943,6.399999999999906,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.399999999999906,4.669999999999943,4.309999999999943,6.059999999999906,2.9699999999999718,2.7499999999999725,2.9699999999999718,2.889999999999972,6.049999999999906,3.9899999999999425,91.41567664433623,88.91335450854388,88.9668348746874,99.13280890170618,90.22646192717298,96.2266782494956,90.182014383726,99.62548314778645
1,42.2436341,-25.35520982,-15.93097733,-34.15389555,0.07293269,-23.49000043,-3.45443471,-18.24276697,-41.24770847,38.36638287,47.80870791,0.59874973,-31.26881336,-9.21139382,38.98237632,26.80687167,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,4.779999999999941,6.429999999999906,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.429999999999906,4.779999999999941,4.41999999999994,6.089999999999906,2.9699999999999718,2.7899999999999725,2.959999999999972,2.829999999999972,6.049999999999905,4.1299999999999395,91.49212962017917,88.91454650692057,89.7311318383394,98.65037257055963,91.18652293998443,98.11034001537425,92.63693391973608,99.48976729845214
2,38.46778597,-25.95995756,-13.33296757,-37.78001991,1.62661156,-20.26788303,-4.29194337,-20.27179167,-40.30216576,35.24065576,45.96370701,1.18460977,-32.96707298,-7.86745306,30.36434302,19.00480613,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,4.889999999999938,6.419999999999906,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.419999999999906,4.889999999999938,4.529999999999938,6.079999999999906,2.939999999999972,2.829999999999972,2.939999999999973,2.7499999999999725,6.0199999999999045,4.279999999999937,91.42481288541788,88.9146812067429,92.81408047819235,98.05352051659719,92.9787128209461,99.06987646344561,94.51343382589127,99.2641132020885
3,34.69199266,-26.56470244,-10.73495841,-41.40613005,0.99826436,-17.0457658,-5.12945204,-22.30081637,-39.35663677,32.11494345,44.11870654,1.77046751,-31.78027335,-6.52351238,21.74630971,11.20274058,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,4.999999999999936,6.369999999999907,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.369999999999907,4.999999999999936,4.6499999999999355,6.029999999999907,2.899999999999973,2.869999999999972,2.9099999999999726,2.679999999999973,5.949999999999906,4.419999999999936,91.10939468799063,88.91464228863805,95.84891743962422,97.0731743575878,95.2521725744798,99.50655187872057,95.73007779782995,99.12883854809009
4,30.91626598,-27.16944392,-8.13694995,-45.03219665,0.36991848,-13.82364878,-5.9669607,-24.32984108,-38.41112447,28.98924871,42.27370657,2.35631822,-30.59347623,-5.17957178,13.12827641,3.40067504,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.129999999999933,6.2899999999999086,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,6.2899999999999086,5.129999999999933,4.769999999999933,5.949999999999909,2.859999999999972,2.899999999999973,2.869999999999972,2.609999999999973,5.849999999999908,4.569999999999934,90.57407444717101,88.91442189176945,97.3544246316284,95.88835977727412,96.8178724058244,99.71845091718913,96.59689990358609,98.90704177359659
5,27.14062141,-27.77418132,-5.53894233,-48.04977288,-0.25842599,-10.60153201,-6.80446937,-26.35886578,-37.46563273,25.86357509,40.42870719,2.84385729,-29.40668176,-3.83563129,4.51024311,-4.40139051,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.249999999999931,6.1999999999999105,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,6.1999999999999105,5.249999999999931,4.89999999999993,5.849999999999911,2.829999999999972,2.919999999999973,2.839999999999972,2.539999999999972,5.72999999999991,4.7199999999999305,89.87092819727724,88.91369643155002,97.9544130612597,94.75328353314082,97.71931345402582,99.82392833301607,97.18527067870852,98.56844334486969
6,23.36507965,-28.37891374,-2.94093569,-46.11167066,-0.88676898,-7.37941556,-7.64197803,-28.38789048,-36.52016674,22.73792715,38.5837085,3.39954017,-28.21989008,-2.49169093,-4.10779019,-12.20345605,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.359999999999928,6.089999999999913,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,6.089999999999913,5.359999999999928,5.019999999999928,5.739999999999913,2.8199999999999723,2.919999999999973,2.8199999999999728,2.489999999999972,5.629999999999912,4.8599999999999275,89.33398322781562,88.91296635454542,98.2153355018,94.60371281542164,98.07184597011036,99.86979115633974,97.11494224667719,98.04183960347503
7,19.58966894,-28.98364005,-0.34293023,-44.17357668,-1.51511042,-4.15729952,-8.4794867,-30.41691519,-35.57473356,19.61231084,36.73871066,3.95522069,-27.03310136,-1.14775074,-12.72582349,-20.0055216,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.469999999999926,5.969999999999915,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,5.969999999999915,5.469999999999926,5.129999999999925,5.6299999999999155,2.809999999999972,2.9199999999999724,2.809999999999972,2.4399999999999724,5.529999999999915,4.999999999999925,89.06481518735451,88.91468231234292,98.53704646363798,94.72254074849457,98.3689265909415,99.90522644108884,96.42512940113015,97.22086993202016
8,15.81442893,-29.58835869,2.25507381,-42.23549151,-2.1434502,-0.93518399,-9.31699536,-32.44593989,-34.62934313,16.48673415,34.89371382,4.51089867,-25.84631575,0.19618923,-21.3438568,-27.80758715,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.549999999999924,5.859999999999918,3.319999999999972,3.2999999999999723,3.2999999999999723,3.319999999999972,5.859999999999918,5.549999999999924,5.209999999999924,5.519999999999918,2.7799999999999723,2.909999999999973,2.7999999999999723,2.3699999999999717,5.449999999999917,5.119999999999925,88.98437608636522,88.91363503113433,98.94407971883089,95.04411288134138,98.60982059661279,99.93051957829306,94.8124215026515,95.9965131498748
9,12.03941701,-30.19306756,4.85307611,-40.29741577,-2.77178823,2.28693084,-9.92127414,-34.19407998,-33.68400982,13.36120795,33.04871822,5.06657396,-24.65953344,1.54012891,-27.56193529,-34.5295869,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,5.609999999999923,5.789999999999919,3.319999999999972,3.2999999999999723,3.2999999999999723,3.319999999999972,5.789999999999919,5.609999999999923,5.269999999999923,5.449999999999919,2.739999999999972,2.899999999999973,2.779999999999972,2.299999999999972,5.429999999999918,5.209999999999922,88.98884245628606,88.91478012759386,99.3399189571458,95.54854065675484,98.8553146922438,99.94680161994694,91.85041459610017,94.43434857776623
10,8.2647195,-30.7977637,7.45107622,-38.35935014,-3.40012442,5.50904474,-19.5589089,-14.2378119,-32.73875524,10.23574754,31.20372418,5.62224635,-23.47275463,2.88406821,-19.77741546,-35.38751303,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,6.299999999999908,6.139999999999912,3.3299999999999716,3.2999999999999723,3.2999999999999723,3.3299999999999716,6.139999999999912,6.299999999999908,5.949999999999908,5.789999999999911,2.669999999999972,2.8899999999999726,2.759999999999973,2.209999999999972,5.789999999999911,5.889999999999907,89.21406449784837,89.15487145216198,99.65486087926145,96.10565679971283,99.08991896852386,99.95757124168362,89.38268224550815,94.74112772549574
11,4.49047245,-31.40244284,10.04907357,-36.42129537,-4.02845864,8.73115731,-29.19654366,5.71845617,-31.79361347,7.11037503,29.35873209,6.17791562,-22.28597952,4.22800695,-11.99289562,-36.24543916,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,6.999999999999893,6.519999999999904,3.3499999999999712,3.2999999999999723,3.2999999999999723,3.3499999999999712,6.519999999999904,6.999999999999893,6.609999999999892,6.129999999999903,2.5699999999999714,2.879999999999972,2.7299999999999733,2.109999999999972,6.169999999999904,6.599999999999892,93.74954485618154,93.45989402287795,99.84620885720001,96.72912621440962,99.2664637353321,99.96321043673986,88.91380256575884,94.13968423458068
12,0.71690338,-32.00709853,12.64706736,-34.48325227,-4.65679077,11.95326794,-38.83417842,12.55929788,-30.84864148,3.98512372,27.51374254,6.73358155,-21.09920836,5.57194487,-4.20837578,-36.53952906,1.96290364,1.72793429,1.74458577,0.69344277,1.06504893,1.44328912,115.78520955,100.84722988,6.649999999999901,6.799999999999898,3.3799999999999706,3.2999999999999723,3.2999999999999723,3.3799999999999706,6.799999999999898,6.649999999999901,6.219999999999899,6.419999999999897,2.4399999999999706,2.8499999999999726,2.7099999999999733,2.0199999999999707,6.459999999999898,6.279999999999901,95.80398444579134,93.24028606109515,99.93136532663084,97.67254140901863,99.41100849976618,99.9653598788907,88.91422717128094,91.54647653615613
