sample_id,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,z1,z2,z3,z4,z5,z6,z7,z8,t1,t2,t3,t4,t5,t6,t7,t8,output1,output2,output3,output4,output5,output6,output7,output8,result1,result2,result3,result4,result5,result6,result7,result8
0,-18.20267914,8.40955295,-34.76096685,18.27338684,-38.99016369,-21.8136335,-3.41074017,34.84937798,38.09879311,35.85938804,-41.40251157,-27.20603462,-46.35317858,17.10104232,-44.59327516,-34.36083146,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,4.769999999999941,4.949999999999937,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,4.949999999999937,4.769999999999941,4.429999999999941,4.609999999999937,2.6999999999999726,2.969999999999972,2.8199999999999728,2.969999999999972,4.409999999999936,4.34999999999994,88.9144268511011,88.9146964424679,99.43211204218333,88.91287631861556,98.11787814532707,88.91302776656545,98.65713881422252,95.6617147404088
1,-21.16530124,9.30735487,-33.87202464,16.2329751,-39.16434682,-22.87399212,-6.54718069,26.19561773,37.10403813,34.03767531,-39.28474694,-27.09482003,-43.59483395,15.11434717,-36.02000828,-17.81889824,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.039999999999935,5.109999999999934,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.109999999999934,5.039999999999935,4.699999999999935,4.769999999999934,2.689999999999973,2.969999999999972,2.7799999999999727,2.969999999999972,4.559999999999934,4.589999999999935,88.9124993884084,88.91411720452287,99.48581061067839,88.91295028036573,98.69923143193738,88.91347645175479,98.79318977015417,97.00294644777202
2,-24.07721549,10.20514013,-32.98308245,14.19269347,-39.338386,-23.93434735,-9.6836212,20.35311654,36.12630925,32.21599637,-37.16698237,-26.98361253,-40.83876907,13.1276584,-27.44674141,-6.6507746,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.249999999999931,5.26999999999993,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.26999999999993,5.249999999999931,4.909999999999931,4.92999999999993,2.669999999999973,2.969999999999972,2.759999999999972,2.969999999999972,4.73999999999993,4.75999999999993,88.91437405792237,88.91290023531464,99.53057445555788,88.91349621359441,98.98057595123919,88.9172224065533,98.7133550959015,97.81518511585394
3,-26.30350173,11.10290629,-32.09414029,12.15256909,-39.51217725,-24.99469795,-12.82006172,14.77071535,35.37879261,30.39435619,-35.04921788,-26.8724136,-38.08663038,11.14097829,-18.87347453,2.20578453,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.439999999999927,5.439999999999927,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.439999999999927,5.439999999999927,5.099999999999927,5.099999999999927,2.6599999999999726,2.9699999999999718,2.749999999999973,2.9699999999999718,4.919999999999926,4.919999999999925,88.9142289612946,88.91425754973127,99.56856960205896,88.91743927876294,99.0413384175957,88.94501787828223,98.50220324248276,98.42528076298488
4,-24.38862053,12.00065041,-31.20519816,10.11263721,-39.68548683,-26.05504204,-15.95650224,9.18831417,34.61283512,28.57276073,-32.93145347,-26.76122517,-35.34211922,9.15431038,-10.30020765,11.06234366,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.7299999999999205,5.599999999999923,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.599999999999923,5.7299999999999205,5.389999999999921,5.259999999999923,2.6499999999999733,2.9699999999999718,2.7599999999999723,2.969999999999972,5.089999999999923,5.159999999999921,88.91493739146064,88.91584864766007,99.60802117872856,88.93782660260648,98.99991122989248,89.11104907530425,98.34327782226494,98.93054023371394
5,-22.47374112,12.8983689,-30.31625608,8.07294445,-39.85766574,-27.11537654,-19.09294275,3.68436338,33.84687834,26.7512173,-30.81368915,-26.65004977,-32.61551331,7.16766043,-1.72694077,19.79444011,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,6.049999999999914,5.719999999999921,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.719999999999921,6.049999999999914,5.709999999999914,5.37999999999992,2.639999999999973,2.969999999999972,2.769999999999972,2.969999999999972,5.1899999999999205,5.449999999999914,88.92426653554469,88.94941846181801,99.63726664068672,89.01257104860167,98.9030510473131,89.7124861195227,98.65864382256446,99.25185718475045
6,-20.55886376,13.79605733,-29.42731404,6.03355377,-40.02611757,-28.17569609,-22.22938327,12.1181442,33.08092239,24.92973483,-28.69592494,-26.53889083,-29.94792908,5.18103849,6.8463261,29.3596763,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.959999999999916,5.789999999999919,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.789999999999919,5.959999999999916,5.609999999999915,5.4499999999999185,2.629999999999973,2.9699999999999718,2.789999999999972,2.959999999999972,5.3199999999999195,5.369999999999916,89.02700668901247,88.95426233971708,99.67344613518772,89.20974553147477,98.7549617540014,91.17979901324635,97.61910290361332,99.12009003546481
7,-18.64398879,14.69371023,-28.53837204,3.99455234,-40.13091626,-29.23599041,-25.36582378,20.55192501,32.31496739,23.10832446,-26.57816084,-26.42775311,-28.28834873,3.19446383,15.41959298,38.92491248,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.75999999999992,5.779999999999919,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.779999999999919,5.75999999999992,5.419999999999919,5.439999999999919,2.599999999999973,2.969999999999972,2.809999999999972,2.9299999999999726,5.2399999999999185,5.23999999999992,89.23500353017488,88.94417758123063,99.74023328919371,89.56399011202355,98.49947509225045,93.54000279949678,98.65675989659606,98.48729041397729
8,-16.7291166,15.5913207,-27.64943011,1.95606428,-36.51172564,-30.2962371,-28.17421014,22.86468749,31.5490135,21.28700019,-24.46039687,-26.31664337,-29.33064487,1.20797841,23.09614402,41.54794951,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,5.7299999999999205,5.699999999999921,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.699999999999921,5.7299999999999205,5.38999999999992,5.35999999999992,2.5499999999999723,2.969999999999972,2.7999999999999723,2.939999999999973,5.139999999999921,5.23999999999992,89.17518043908782,88.97234265565862,99.82199428572433,89.30545377191415,98.6686945205414,93.0999036029459,98.93015659230014,97.95835007769476
9,-14.81424771,16.48887991,-26.76048823,-0.08172737,-32.89254286,-31.35637657,-33.81138143,13.21997436,30.78306093,19.46577993,-22.34263306,-26.20557159,-30.37293874,-0.77830611,9.61963534,38.49952447,0.297461431,0.975371548,0.128248815,0.658302205,0.647575316,0.0347016988,106.081758,104.625475,6.069999999999913,5.519999999999925,3.309999999999972,3.309999999999972,3.309999999999972,3.309999999999972,5.519999999999925,6.069999999999913,5.7299999999999125,5.179999999999924,2.489999999999972,2.9699999999999718,2.7799999999999723,2.919999999999972,4.939999999999925,5.459999999999913,89.09667439389574,89.18648280586532,99.8683302260119,89.7321135210913,98.90551017433917,94.72236584064281,99.12317243490224,99.30132344833495
