sample_id,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,z1,z2,z3,z4,z5,z6,z7,z8,t1,t2,t3,t4,t5,t6,t7,t8,output1,output2,output3,output4,output5,output6,output7,output8,result1,result2,result3,result4,result5,result6,result7,result8
0,-20.46230787,-30.23396533,-9.10709086,25.2161695,-11.89372754,-24.65210431,41.22307726,-26.58590988,36.1634945,-24.5765822,5.29567479,33.92497664,-38.15074952,-11.68004063,1.58465427,9.20347321,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.139999999999912,5.199999999999932,3.3299999999999716,3.2999999999999723,3.2999999999999723,3.3299999999999716,5.199999999999932,6.139999999999912,5.799999999999912,4.849999999999931,2.489999999999972,2.9699999999999727,2.8899999999999726,2.3099999999999716,4.859999999999931,5.439999999999912,88.94160321559785,90.07250634594254,99.88854413594095,90.12689013130857,96.12542345844592,99.94393391771071,89.14342038601055,99.64200964538924
1,-20.15885707,-29.84943527,-6.92993761,23.9726031,-14.14663285,-26.25104866,28.63544276,-15.367307,34.76072796,-21.60809363,3.36336074,32.15885855,-38.4639031,-14.01716415,-6.21463164,0.05443551,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.919999999999916,5.479999999999926,3.319999999999972,3.2999999999999723,3.2999999999999723,3.319999999999972,5.479999999999926,5.919999999999916,5.569999999999917,5.139999999999925,2.599999999999972,2.9599999999999724,2.8899999999999726,2.439999999999972,5.139999999999926,5.239999999999916,88.91787014565767,88.95097431413832,99.75747617653305,90.33163861772381,96.18150693393036,99.90365920359903,88.91599344303307,99.59228981523502
2,-19.85540628,-29.46490559,-4.75280336,22.72904471,-16.3990681,-27.84994615,16.04780827,-4.14870412,33.35796143,-18.63960805,1.43106356,30.39275183,-38.77699134,-16.35421918,-14.01391755,-9.0946022,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.639999999999922,5.799999999999919,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,5.799999999999919,5.639999999999922,5.2999999999999226,5.449999999999919,2.7199999999999727,2.959999999999972,2.889999999999973,2.5299999999999723,5.449999999999919,4.989999999999922,88.93046876094381,88.91249967604031,99.35904587084914,90.37571419388601,96.26241781298205,99.84043469733794,88.91249149457221,99.51364339468428
3,-19.55195549,-29.08037637,-2.57569142,21.4854957,-18.65086302,-29.44878197,3.46017377,7.06989876,31.95519491,-15.67112595,-0.50121382,28.62665843,-39.08999057,-18.69118406,-21.81320345,-18.2436399,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.379999999999928,6.109999999999912,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,6.109999999999912,5.379999999999928,5.039999999999927,5.7699999999999125,2.779999999999972,2.9699999999999718,2.8899999999999726,2.5899999999999728,5.7699999999999125,4.759999999999927,89.1531591675877,88.91462298337868,98.875614065942,90.13943275853724,96.13086408885106,99.75288113410184,88.91462298311646,99.37496734748714
4,-19.2485047,-28.69584767,-0.3986059,20.2419578,-20.90175419,-31.04753428,-9.12746073,18.28850164,30.55242838,-12.70264792,-2.43346776,26.86058082,-39.40286419,-21.02802688,-29.61248936,-27.3926776,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.139999999999933,6.309999999999908,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,6.309999999999908,5.139999999999933,4.769999999999932,5.969999999999908,2.8399999999999723,2.969999999999972,2.889999999999973,2.6499999999999733,5.969999999999907,4.559999999999932,92.29245545498075,88.91390106815017,97.80826441287043,89.86454225764373,96.02745994610942,99.6223265002806,89.05554799691417,99.12096495641927
5,-18.94505391,-28.31131959,1.77844801,18.99843321,-23.15131155,-32.64616962,-19.82151966,23.94764454,29.14966185,-9.73417468,-4.36569364,25.0945221,-39.7155524,-23.36469873,-36.23851771,-32.00784335,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.039999999999935,6.259999999999909,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.259999999999909,5.039999999999935,4.669999999999934,5.919999999999909,2.889999999999973,2.969999999999972,2.889999999999973,2.6999999999999726,5.879999999999908,4.469999999999935,92.28116729144156,88.91262034527534,96.12061054200137,89.60691373126654,95.96891366226109,99.41332734725805,92.80514202621319,98.98197320522208
6,-18.64160312,-27.92679226,3.95546367,17.75492471,-25.39878291,-34.24463392,-35.04499221,19.38681424,27.74689533,-6.76570714,-6.29788556,23.32848624,-40.02795066,-25.70112058,-39.45203548,-24.40821532,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.219999999999931,6.099999999999913,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.099999999999913,5.219999999999931,4.869999999999931,5.759999999999913,2.9299999999999726,2.9699999999999718,2.889999999999973,2.749999999999972,5.669999999999912,4.60999999999993,90.82927104215413,88.91506321978548,93.93572516734852,89.3216325788345,96.02715184294473,99.11943889558617,96.07657784474947,99.29342107877608
7,-18.33815233,-27.54226581,6.13243241,16.51143594,-27.64272653,-35.84283386,-18.38237606,14.82598394,26.34412881,-3.79724647,-8.23003585,21.5624784,-40.33985857,-28.03715603,-31.20625604,-16.8085873,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.429999999999927,6.22999999999991,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.22999999999991,5.429999999999927,5.079999999999926,5.88999999999991,2.9499999999999718,2.9699999999999718,2.889999999999972,2.7799999999999727,5.719999999999909,4.779999999999926,90.15280974836097,88.91239173103341,91.6039848013739,89.08366043960991,96.04073364659004,98.80750238214931,98.13043078998395,99.47479324780475
8,-18.03470155,-27.15774045,8.30934279,15.26797173,-29.88000194,-37.44059358,-1.71975991,10.26515365,24.94136229,-0.82879418,-10.16213433,19.79650543,-40.65083959,-30.37254801,-22.96047661,-9.20895928,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.669999999999922,6.089999999999913,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,6.089999999999913,5.669999999999922,5.329999999999921,5.749999999999913,2.9699999999999718,2.9699999999999718,2.889999999999972,2.799999999999972,5.549999999999914,4.999999999999921,88.95343036555306,88.91368954925954,89.84907397082908,88.95593625892238,96.1498068207245,98.53887378261778,98.72832692202428,99.5559787898739
9,-17.73125076,-26.77321642,10.48617925,14.02453859,-32.10232593,-39.03753829,14.94285624,5.70432335,23.53859577,2.13964778,-12.09416722,18.0305766,-40.95974237,-32.70674872,-14.71469717,-1.60933126,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.939999999999916,5.809999999999919,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.809999999999919,5.939999999999916,5.5899999999999155,5.469999999999919,2.9699999999999718,2.969999999999972,2.8799999999999724,2.8099999999999725,5.269999999999918,5.259999999999915,88.91405415508025,88.91439426649306,89.0586174367598,88.91770947331186,96.24366489611705,98.24604910412216,98.72469993116302,99.5845759604036
10,-17.42779997,-26.38869408,12.66292025,12.7811456,-34.27967081,-40.63270779,31.60547239,3.96564602,22.13582926,5.10807676,-14.02611537,16.26470478,-41.26239306,-35.03835468,-6.46891774,1.28779496,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.069999999999913,5.509999999999925,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.509999999999925,6.069999999999913,5.729999999999913,5.169999999999924,2.969999999999972,2.969999999999972,2.8799999999999724,2.8299999999999725,4.969999999999924,5.399999999999912,88.91486188190297,88.9448930993385,88.9189980214895,88.91302452308177,96.34825276160954,97.86583394592544,98.68361532559517,99.52986401454498
11,-17.12434918,-26.00417389,14.83953491,11.53780572,-36.03988036,-42.22274233,40.69584649,2.55878331,20.73306275,8.07648914,-15.9579514,14.49890839,-41.50706199,-37.36245502,-1.97039127,-9.10401526,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.899999999999917,5.349999999999929,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.349999999999929,5.899999999999917,5.549999999999917,5.009999999999928,2.969999999999972,2.969999999999972,2.8799999999999724,2.8399999999999723,4.829999999999929,5.2899999999999165,88.91259794819591,88.97538204248413,88.91291436013354,88.91285933745031,96.42974395078522,97.60260469958865,98.50062120943475,99.2326075805228
12,-16.8208984,-25.61965651,17.0159775,10.29453816,-32.89234304,-43.7437195,37.43770113,1.27833765,19.33029625,11.0448798,-17.88963471,12.73321471,-39.41769743,-39.58561652,11.6741658,-18.5620443,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,5.7299999999999205,5.429999999999927,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.429999999999927,5.7299999999999205,5.389999999999921,5.089999999999926,2.9699999999999718,2.969999999999972,2.8599999999999723,2.849999999999972,4.889999999999927,5.15999999999992,88.913881299035,88.94091304662315,88.94608081289157,88.93350645525472,97.18956705804437,97.3182565149744,98.62398113045103,98.88739258070474
13,-16.51744762,-25.23514291,19.19217723,9.05137265,-29.74564143,-42.4284417,35.22579941,-1.26475754,17.92752975,14.01324129,-19.82110247,10.96766596,-37.32888763,-38.09825153,20.93723294,-6.99096022,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.089999999999913,5.479999999999926,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.479999999999926,6.089999999999913,5.749999999999913,5.129999999999924,2.9699999999999718,2.9699999999999718,2.829999999999972,2.8499999999999726,4.919999999999926,5.5199999999999125,88.92211496884529,89.59655727225064,89.07166183409247,89.1448524542112,97.95025500551989,97.34655604473451,98.82586815567355,98.8869972725518
14,-16.21399683,-24.85063455,21.36801845,7.80835774,-26.60093056,-41.11316467,23.65628793,-3.80785273,16.52476326,16.98156233,-21.75225203,9.2023311,-35.24139931,-36.6108874,31.16571974,4.58012386,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.489999999999904,5.689999999999921,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.689999999999921,6.489999999999904,6.149999999999904,5.329999999999921,2.9699999999999718,2.9699999999999718,2.7899999999999725,2.859999999999973,5.089999999999921,5.909999999999903,88.9858119585126,91.34296149890278,89.32246549507045,90.00960244758353,98.60933120373161,97.32944845789898,99.17337108228772,99.02652781180407
15,-15.91054605,-24.46613375,23.54329852,6.56557848,-23.46312557,-39.79788846,12.08677644,-6.35094793,15.12199677,19.94982496,-23.68290355,7.4373309,-33.15849517,-35.1235242,41.39420654,16.15120794,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.789999999999898,5.879999999999917,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.879999999999917,6.789999999999898,6.439999999999897,5.4999999999999165,2.969999999999972,2.949999999999972,2.7499999999999725,2.8599999999999723,5.229999999999917,6.179999999999898,89.11524009772387,92.96360224792049,89.68668927886773,91.77554027431995,99.1109860204802,97.25326694548355,99.43195785787137,99.16937539245328
16,-15.60709527,-24.08164446,25.71762778,5.32319832,-21.66171128,-38.48261314,4.0160423,-8.89404312,13.7192303,22.91799878,-25.61271119,5.67289751,-31.9626996,-33.63616201,48.52946006,27.72229202,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.559999999999903,5.979999999999915,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.979999999999915,6.559999999999903,6.209999999999902,5.629999999999914,2.9699999999999718,2.939999999999972,2.6999999999999726,2.8599999999999723,5.369999999999914,5.979999999999902,89.04787777602738,90.45538929307769,89.63821223784169,92.90151778348265,99.43041855388941,97.3135526962899,99.30820890985582,99.00633256688205
17,-15.3036445,-23.69717391,27.89015157,4.08157571,-18.78966719,-37.16733877,-3.43174763,-10.1242442,12.31646384,25.88602794,-27.5409164,3.90954,-31.08742989,-32.1488009,39.0004484,33.3197074,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.3399999999999075,6.369999999999907,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,6.369999999999907,6.3399999999999075,5.989999999999907,6.019999999999906,2.969999999999972,2.9099999999999726,2.6399999999999726,2.859999999999973,5.7599999999999065,5.7999999999999075,89.01534938149159,88.98034281188086,89.83650207952847,94.98956658519,99.66226682282485,97.18983393206511,99.24484684992872,98.53228690841844
18,-15.00019373,-23.31273696,30.05857895,2.84167146,-15.91762363,-35.85206545,-10.87953757,-17.80637722,10.9136974,28.85379769,-29.46548587,2.1486229,-30.21216033,-30.66144097,29.47143673,16.95979263,1.68029023,1.47491153,0.38381179,0.52446727,1.80081768,1.01978062,117.17888145,102.20652745,6.909999999999895,6.739999999999899,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,6.739999999999899,6.909999999999895,6.559999999999895,6.379999999999899,2.9699999999999718,2.869999999999973,2.559999999999973,2.869999999999972,6.009999999999899,6.369999999999896,89.91523571138083,91.12256035736598,89.94849865297483,96.96599100354226,99.80765741833815,96.94176256949667,99.70615946518666,98.6603200914466
