feature,importance_mean,importance_std
t9,0.21260430787001725,0.011139590328129247
t10,0.1962596621779008,0.0034294529538664
t2,0.1961889519432131,0.011122574321268302
t1,0.19548063674772745,0.003184727796943535
t6,0.017292529098424547,0.0003063477700622856
t5,0.017155703845868505,0.0004557146477971262
t8,0.015608695070594503,0.00018599175258997625
t3,0.015315002097833772,0.0002246690536548955
t7,0.009370445615383577,0.0001106293790742975
t4,0.008904762929190497,9.890411930525704e-05
y5,0.006901424120518278,0.00022217465017349737
x2,0.005364871428414671,6.740475415740141e-05
y6,0.005279804970801972,0.00014881364281509564
y4,0.005238976768332675,8.41743870847424e-05
x7,0.004998662688998293,0.00015433506082239643
x3,0.004729197809175508,0.00011519871534590239
z6,0.004655720495300965,0.00020029852992555516
y3,0.00426305062527286,0.00012201468170200999
x8,0.004242487378170558,0.0001882693007574951
x4,0.004152915772447361,5.015650980987926e-05
x5,0.0040517420043458055,0.00011067865685859731
z5,0.003943814399700963,0.00016565653044448277
y1,0.003878863591236856,2.8711445478187057e-05
y8,0.0036959278225305327,7.889446600942791e-05
y10,0.003679051501639783,0.00011409029658898966
y9,0.0035220180363697076,5.1746660986103446e-05
y2,0.0035206529683233395,4.0328377155358374e-05
z4,0.003420537157642372,5.98075566229945e-05
y7,0.003396839633424203,5.321230056695769e-05
z9,0.003357814960108615,4.084711979651408e-05
x1,0.003311731231993402,6.904067294038312e-05
x9,0.0032312198026248936,5.141955293298567e-05
z10,0.0032018864126382323,0.00010193797098629137
x10,0.0031511339429728578,0.00013237362953858945
x6,0.0031091443359946153,5.647723815605802e-05
z7,0.0028256305344724875,0.00022046152266553347
z8,0.0027803514548593185,5.11291015108517e-05
z3,0.002747390069811272,5.5327954159511554e-05
z1,0.0026954397055231646,7.056042852843769e-05
z2,0.002471000980200391,1.6713702878603543e-05
